iter	Logloss
0	0.6556569317
1	0.6153605021
2	0.5849207591
3	0.5557762495
4	0.534542596
5	0.5130685497
6	0.4943057066
7	0.4789677545
8	0.4677068208
9	0.4565710588
10	0.4425749841
11	0.4313752246
12	0.4237580655
13	0.4126408805
14	0.4034279935
15	0.3993824885
16	0.3919441482
17	0.3877501515
18	0.3808528156
19	0.3746688027
20	0.3701702112
21	0.36643237
22	0.3632869031
23	0.3596005865
24	0.354197736
25	0.3502768964
26	0.3453974925
27	0.342445889
28	0.3394783649
29	0.3370583299
30	0.333398567
31	0.3298614297
32	0.3271901004
33	0.3226401686
34	0.3206348832
35	0.3178326462
36	0.3150801312
37	0.3124709532
38	0.3095476467
39	0.3070055774
40	0.3037420407
41	0.3019088156
42	0.30066734
43	0.2967853035
44	0.2949226495
45	0.2929355937
46	0.2908371394
47	0.2887922392
48	0.2876080701
49	0.2852852464
50	0.2824641549
51	0.2812187109
52	0.2794159446
53	0.2772881468
54	0.2760456181
55	0.2742667156
56	0.2719473412
57	0.2705565257
58	0.2693714004
59	0.2681202672
60	0.2663770217
61	0.2635672964
62	0.2624416509
63	0.2615754335
64	0.2598899021
65	0.257673622
66	0.2566360463
67	0.2553462218
68	0.2533237591
69	0.2520803671
70	0.2511669516
71	0.2496162689
72	0.2483279409
73	0.2473860208
74	0.2462472173
75	0.2451749551
76	0.2437138845
77	0.2417741122
78	0.2405925278
79	0.2394166315
80	0.2386853027
81	0.2377365023
82	0.2367344238
83	0.2358832012
84	0.2341991744
85	0.2331259759
86	0.2316231272
87	0.2303722598
88	0.2293237577
89	0.2283600111
90	0.2273836965
91	0.2266132766
92	0.2254692741
93	0.2238984333
94	0.2232761983
95	0.2226659901
96	0.2213103295
97	0.2202117483
98	0.2195586305
99	0.218997347
100	0.2182518693
101	0.2169640402
102	0.2158594865
103	0.2140046989
104	0.2134735633
105	0.2125860736
106	0.211705273
107	0.2111387672
108	0.2106484254
109	0.2099263774
110	0.209328655
111	0.2086141783
112	0.2081358556
113	0.2073362282
114	0.2061477777
115	0.2053110218
116	0.2044233313
117	0.20383884
118	0.2034078402
119	0.2030210125
120	0.2024317563
121	0.2013449928
122	0.2003319732
123	0.1994215436
124	0.1986144057
125	0.1974762287
126	0.1967390914
127	0.1959098042
128	0.1949525253
129	0.1942364635
130	0.1933408489
131	0.1924594448
132	0.1914245634
133	0.1905884855
134	0.1897314865
135	0.1890196639
136	0.1886769909
137	0.1880603624
138	0.1877161753
139	0.18728642
140	0.1862655246
141	0.18586927
142	0.1852364189
143	0.1843859695
144	0.183591854
145	0.1832943113
146	0.1827530278
147	0.1824690947
148	0.1822249791
149	0.1816367512
150	0.1809196634
151	0.1806131311
152	0.1799008063
153	0.1794924901
154	0.1785953853
155	0.178143165
156	0.1775378889
157	0.1767998433
158	0.1762068028
159	0.1759452552
160	0.1751779512
161	0.1747215905
162	0.1741199773
163	0.1735958544
164	0.1732309587
165	0.1724910656
166	0.1716131615
167	0.1709918357
168	0.1702547607
169	0.169883985
170	0.1694743607
171	0.1689996711
172	0.1686010617
173	0.1681246437
174	0.1675324077
175	0.166901746
176	0.166074093
177	0.1656238095
178	0.1653861774
179	0.1647625203
180	0.1639376
181	0.1633483587
182	0.1626881785
183	0.1623153329
184	0.1616040385
185	0.1612036908
186	0.1606559376
187	0.1599906611
188	0.1595614021
189	0.1589743627
190	0.158420823
191	0.1580354202
192	0.157691514
193	0.1571645412
194	0.156796681
195	0.1563396561
196	0.1558416616
197	0.1553366067
198	0.1546871035
199	0.154145624
200	0.1536477642
201	0.153142204
202	0.1527868054
203	0.1522287377
204	0.1519607593
205	0.1516676938
206	0.1509876947
207	0.1506608363
208	0.1502894465
209	0.1500158683
210	0.1497308347
211	0.1491916105
212	0.1487734376
213	0.1483573247
214	0.1479244074
215	0.1471067555
216	0.1465332123
217	0.1459054881
218	0.1455046376
219	0.1451615886
220	0.1448160159
221	0.1440114741
222	0.1436242688
223	0.1432050313
224	0.1428557665
225	0.1422916161
226	0.1416866468
227	0.141198378
228	0.1408440075
229	0.1402895687
230	0.1396977887
231	0.1392406049
232	0.1389268968
233	0.1385330319
234	0.1379448943
235	0.1375813124
236	0.1372933811
237	0.1370263432
238	0.1367873048
239	0.1365039898
240	0.1360799247
241	0.1356544808
242	0.1351058446
243	0.1346654891
244	0.1342589017
245	0.1337266077
246	0.1331391427
247	0.132776201
248	0.1324264859
249	0.1318947301
250	0.131252199
251	0.1308720212
252	0.130276419
253	0.1299770441
254	0.1296016852
255	0.1294161698
256	0.1292178353
257	0.1287307975
258	0.1282807239
259	0.1278251783
260	0.1275550806
261	0.1270962922
262	0.1267127283
