iter	Passed	Remaining
0	2	1303
1	4	1112
2	6	1029
3	7	984
4	9	962
5	11	948
6	13	940
7	15	932
8	16	920
9	18	908
10	20	903
11	22	898
12	23	895
13	25	885
14	27	879
15	28	874
16	30	873
17	32	870
18	34	867
19	36	865
20	37	862
21	39	855
22	41	851
23	42	848
24	44	846
25	46	844
26	48	843
27	49	842
28	51	839
29	53	837
30	55	833
31	56	830
32	58	828
33	60	825
34	61	822
35	63	821
36	65	820
37	67	817
38	68	814
39	70	813
40	72	812
41	74	810
42	76	807
43	77	805
44	79	805
45	81	805
46	83	804
47	85	802
48	86	800
49	88	798
50	90	796
51	92	794
52	93	791
53	95	789
54	97	787
55	99	785
56	100	782
57	102	781
58	104	779
59	105	776
60	107	776
61	109	774
62	111	772
63	113	770
64	114	768
65	116	766
66	118	763
67	120	762
68	121	760
69	123	758
70	125	756
71	126	754
72	128	752
73	130	750
74	132	748
75	134	750
76	136	749
77	138	747
78	139	745
79	141	743
80	143	741
81	145	739
82	147	738
83	148	736
84	150	734
85	152	732
86	153	730
87	155	728
88	157	726
89	159	724
90	160	723
91	162	721
92	164	719
93	166	717
94	167	715
95	169	713
96	171	711
97	173	709
98	174	708
99	176	706
100	178	704
101	179	702
102	181	700
103	183	698
104	185	696
105	186	694
106	188	692
107	190	690
108	192	688
109	193	686
110	195	684
111	197	682
112	198	680
113	200	678
114	202	676
115	203	674
116	205	673
117	207	671
118	209	669
119	210	667
120	212	666
121	214	664
122	215	662
123	217	660
124	219	658
125	221	656
126	222	654
127	224	653
128	226	651
129	228	649
130	230	648
131	231	646
132	233	644
133	235	642
134	237	641
135	238	639
136	240	637
137	242	636
138	244	634
139	246	632
140	247	631
141	249	629
142	251	627
143	253	626
144	255	625
145	257	623
146	259	622
147	260	620
148	262	618
149	264	617
150	266	615
151	268	613
152	269	612
153	271	610
154	273	608
155	275	607
156	277	605
157	279	604
158	281	602
159	282	601
160	284	599
161	286	597
162	288	596
163	290	594
164	291	592
165	293	591
166	295	589
167	297	587
168	299	586
169	301	584
170	303	583
171	304	581
172	306	579
173	308	577
174	310	576
175	311	574
176	313	572
177	315	571
178	317	569
179	319	567
180	321	566
181	322	564
182	324	562
183	326	560
184	328	559
185	330	557
186	331	555
187	333	553
188	335	552
189	337	550
190	339	548
191	340	546
192	342	544
193	344	542
194	345	541
195	347	539
196	349	537
197	351	535
198	353	534
199	354	532
200	356	530
201	358	528
202	360	526
203	361	525
204	363	523
205	365	521
206	367	519
207	369	518
208	370	516
209	372	514
210	374	512
211	376	510
212	377	509
213	379	507
214	381	505
215	383	503
216	385	502
217	386	500
218	388	498
219	390	496
220	392	495
221	393	493
222	395	491
223	397	489
224	399	487
225	400	486
226	402	484
227	404	482
228	406	480
229	408	479
230	410	477
231	412	476
232	413	474
233	415	472
234	417	470
235	419	468
236	420	466
237	422	465
238	424	463
239	426	461
240	427	459
241	429	458
242	431	456
243	433	454
244	435	452
245	436	451
246	438	449
247	440	447
248	442	446
249	444	444
250	446	442
251	447	440
252	449	438
253	451	437
254	453	435
255	454	433
256	456	431
257	458	430
258	460	428
259	462	426
260	464	425
261	465	423
262	467	421
263	469	419
264	471	417
265	473	416
266	474	414
267	476	412
268	478	410
269	480	408
270	481	407
271	483	405
272	485	403
273	487	401
274	489	400
275	490	398
276	492	396
277	494	394
278	496	393
279	497	391
280	499	389
281	501	387
282	503	386
283	505	384
284	507	382
285	509	380
286	510	379
287	512	377
288	514	375
289	516	373
290	517	371
291	519	370
292	521	368
293	523	366
294	525	364
295	526	363
296	528	361
297	530	359
298	532	357
299	534	356
300	535	354
301	537	352
302	539	350
303	540	348
304	542	346
305	544	345
306	546	343
307	547	341
308	549	339
309	551	337
310	553	336
311	554	334
312	556	332
313	558	330
314	560	328
315	561	327
316	563	325
317	565	323
318	567	321
319	568	319
320	570	318
321	572	316
322	574	314
323	575	312
324	577	311
325	579	309
326	581	307
327	582	305
328	584	303
329	586	301
330	588	300
331	589	298
332	591	296
333	593	295
334	595	293
335	597	291
336	599	289
337	600	288
338	602	286
339	604	284
340	606	282
341	608	280
342	609	279
343	611	277
344	613	275
345	615	273
346	616	271
347	618	270
348	620	268
349	622	266
350	623	264
351	625	263
352	627	261
353	629	259
354	631	257
355	632	255
356	634	254
357	636	252
358	638	250
359	640	248
360	641	247
361	643	245
362	645	243
363	647	241
364	649	240
365	650	238
366	652	236
367	654	234
368	656	233
369	658	231
370	659	229
371	661	227
372	663	225
373	665	224
374	667	222
375	668	220
376	670	218
377	672	217
378	674	215
379	675	213
380	677	211
381	679	209
382	681	208
383	682	206
384	684	204
385	686	202
386	688	200
387	689	199
388	691	197
389	692	195
390	694	193
391	696	191
392	698	190
393	699	188
394	701	186
395	703	184
396	705	182
397	706	181
398	708	179
399	710	177
400	712	175
401	714	174
402	715	172
403	717	170
404	719	168
405	721	166
406	722	165
407	724	163
408	726	161
409	728	159
410	729	158
411	731	156
412	733	154
413	735	152
414	736	150
415	738	149
416	740	147
417	742	145
418	743	143
419	745	142
420	747	140
421	749	138
422	750	136
423	752	134
424	754	133
425	756	131
426	757	129
427	759	127
428	761	126
429	763	124
430	764	122
431	766	120
432	768	118
433	770	117
434	772	115
435	773	113
436	775	111
437	777	110
438	779	108
439	780	106
440	782	104
441	784	102
442	786	101
443	787	99
444	789	97
445	791	95
446	793	94
447	794	92
448	796	90
449	798	88
450	800	86
451	802	85
452	804	83
453	805	81
454	807	79
455	809	78
456	811	76
457	813	74
458	814	72
459	816	71
460	818	69
461	820	67
462	821	65
463	823	63
464	825	62
465	827	60
466	828	58
467	830	56
468	832	55
469	833	53
470	835	51
471	837	49
472	839	47
473	841	46
474	842	44
475	844	42
476	846	40
477	848	39
478	849	37
479	851	35
480	853	33
481	855	31
482	856	30
483	858	28
484	860	26
485	862	24
486	863	23
487	865	21
488	867	19
489	869	17
490	871	15
491	873	14
492	874	12
493	876	10
494	878	8
495	880	7
496	882	5
497	883	3
498	885	1
499	887	0
