X1,X2,X4,X5,X6,X12,X15,X16,X17,X18,X21,X22,X24,X25,X26,X27,X29,X31,X34,X35,X36,X37,X38,X40,X41,X42,X45,X46,X47,X48,X52,X58,X59,X61,X66,X64,X65
0.55765,0.23742,3.1157,85.433,0.20039,2.3488,148.07,2.4651,4.212,0.55765,10.369249164322722,0.0,0.16447,0.75982,2.4651,0.0,3.5581,0.49303,6.4163,0.017888,2.2622,3.4383,0.76258,0.081675,0.2868,0.0,4.0291,2.5328,33.163,-0.027594,0.15585,0.67423,0.0,3.8874,38.307,8.6916,0
0.02497,0.58249,1.1303,-83.16,0.055664,0.070565,3099.0,0.11778,1.7168,0.034174,1.1523,0.053214,0.081074,0.34129,0.10198,0.38722,4.2434,0.024104,0.091356,0.053214,1.442,1.7999,0.43948,0.029137,0.2185,0.037533,0.067362,0.36494,98.454,0.018782,0.35241,0.9693,0.28772,8.7179,124.68,3.1327,0
0.028543,0.33306,0.8334,-38.302,0.10565,0.12739,1122.6,0.32514,3.0025,0.035266,1.2845,0.042594,0.12993,0.588,0.30495,0.27138,4.9517,0.022315,0.12789,0.042594,1.6161,2.1081,0.64423,0.020359,0.094707,0.026952,0.25448,0.42823,26.083,-0.03043,0.17637,0.99317,0.095636,13.997,63.936,2.0543,0
-0.038892,0.75474,1.345,-14.871,-0.059812,-0.072247,-50914.0,-0.007169,1.325,-0.041945,0.79764,-0.039455,-0.073713,0.19957,-0.003124,-0.1425,6.2426,-0.01536,-0.052276,-0.039455,2.7626,2.6863,0.37373,0.021863,-8.4959,-0.014448,-0.12425,0.80588,41.265,-0.075989,0.20969,1.0139,0.87274,5.9992,77.601,12.464,0
0.09033,0.98126,1.0186,170.84,-0.13243,0.092453,303.92,1.201,1.0191,0.09033,10.369249164322722,0.0,0.09033,-0.042095,1.201,0.0,3.323,0.08338,0.83437,0.01354,2.2173,3.4383,0.018744,0.13894,0.030059,0.0,0.72941,0.89183,55.209,-1.0881,1.1933,0.39904,0.0,3.0143,160.83,460.65,0
0.092481,0.38926,2.2293,13.542,0.21551,0.38815,753.4,0.48447,2.569,0.12426,1.111,0.1348,0.29,0.58254,0.40284,0.73228,4.076,0.063324,0.3463,0.1348,2.0511,5.6146,0.65167,0.43968,0.064268,0.068696,0.28408,1.2124,64.549,0.070474,0.17391,0.93811,0.11866,7.9329,59.547,6.853,0
0.015016,0.79303,1.2664,-23.166,0.0,0.033734,4456.3,0.081906,1.261,0.018734,2.7946,0.035303,0.02833,0.037447,0.077217,1.1852,3.833,0.014675,3.3474,0.034377,2.6889,2.2203,0.44297,0.24574,0.32426,0.013129,0.083747,0.94351,24.654,-0.010917,0.20921,0.99307,1.1402,6.9391,75.384,9.062,0
0.011809,0.85322,1.0452,-10.654,0.006161,0.020516,6728.4,0.054248,1.172,0.016579,1.0028,0.030045,0.027687,0.11827,0.048658,1.9108,3.9431,0.006195,6.0813,0.025309,5.214,284.11,0.14909,0.02359,0.47598,0.005762,0.06356,0.8153,13.07,0.000339,0.15574,0.99683,0.0158,8.1496,56.571,33.562,0
-0.2194,0.17062,3.5481,38.841,-0.3691,-1.4515,-559.16,-0.65276,5.8609,-0.22008,1.2184,-0.22183,-0.37765,0.73346,-0.64883,-1.752,4.3128,-0.21189,-1.3001,-0.22183,1.0887,15.089,0.75245,0.55356,-0.049584,-0.21358,-0.87305,1.8907,72.447,-0.33053,0.11975,1.2191,0.025902,5.123,53.285,2.248,0
0.034698,0.66341,0.97899,-28.994,-0.17629,0.064306,7805.0,0.046765,1.5074,0.031024,10.369249164322722,0.047503,0.031024,0.15975,0.052302,2.8833,3.4414,0.01197,3.8586,0.037434,2.6074,3.4383,0.33637,0.054441,0.46552,0.018328,0.17961,0.45488,27.547,0.047503,0.18847,0.79987,0.0,10.25,67.944,4.9149,1
